epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,2017.28,0.65563,0.54959,1.10193,0.85506,0.81801,0.85311,0.61627,1.01758,0.72262,1.42339,0.00021471,0.00021471,0.00021471
90,2040.39,0.64328,0.53197,1.09048,0.86772,0.83411,0.87512,0.63609,1.01445,0.68577,1.43009,0.000198206,0.000198206,0.000198206
91,2098.67,0.53623,0.3849,1.01663,0.86299,0.79549,0.86445,0.61807,1.03007,0.73591,1.46047,0.000181703,0.000181703,0.000181703
92,2119.96,0.53369,0.36945,1.0038,0.86617,0.80404,0.87186,0.63081,1.02183,0.73488,1.43932,0.0001652,0.0001652,0.0001652
93,2141.44,0.50764,0.3533,0.99172,0.87587,0.81502,0.87621,0.62757,1.01685,0.71319,1.44277,0.000148696,0.000148696,0.000148696
94,2162.78,0.51608,0.3567,0.99817,0.84778,0.83652,0.88081,0.62862,0.9932,0.7089,1.4179,0.000132193,0.000132193,0.000132193
95,2183.97,0.51112,0.34904,0.9927,0.84964,0.8136,0.87434,0.62395,1.01161,0.72232,1.42465,0.00011569,0.00011569,0.00011569
96,2206.17,0.50585,0.33785,0.98675,0.86022,0.81862,0.87242,0.62667,1.03812,0.7091,1.46495,9.91865e-05,9.91865e-05,9.91865e-05
97,2227.61,0.49373,0.33131,0.97979,0.8643,0.82654,0.88099,0.62978,1.02031,0.71338,1.44356,8.26832e-05,8.26832e-05,8.26832e-05
98,2249.79,0.49822,0.3348,0.98518,0.8792,0.80326,0.8729,0.6249,1.02087,0.73069,1.43895,6.61799e-05,6.61799e-05,6.61799e-05
99,2271.74,0.49069,0.33265,0.97726,0.87345,0.80068,0.87512,0.63115,1.01002,0.70913,1.42663,4.96766e-05,4.96766e-05,4.96766e-05
100,2294.09,0.47318,0.3259,0.96654,0.86194,0.81423,0.87536,0.63102,1.01182,0.70449,1.42314,3.31733e-05,3.31733e-05,3.31733e-05
